@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
49,3,10010
49,3,10010
49,3,10010
49,3,10010
54,3,10020
54,3,10020
54,3,10020
54,3,10020
52,3,10030
52,3,10030
52,3,10030
52,3,10030
52,3,10040
52,3,10040
52,3,10040
52,3,10040
54,3,10050
54,3,10050
54,3,10050
54,3,10050
52,3,10060
52,3,10060
52,3,10060
52,3,10060
51,3,10070
51,3,10070
51,3,10070
51,3,10070
53,3,10080
53,3,10080
53,3,10080
53,3,10080
51,3,10090
51,3,10090
51,3,10090
51,3,10090
50,3,10100
50,3,10100
50,3,10100
50,3,10100
52,3,10110
52,3,10110
52,3,10110
52,3,10110
52,3,10120
52,3,10120
52,3,10120
52,3,10120
52,3,10130
52,3,10130
52,3,10130
52,3,10130
52,3,10140
52,3,10140
52,3,10140
52,3,10140
50,3,10150
50,3,10150
50,3,10150
50,3,10150
50,3,10160
50,3,10160
50,3,10160
50,3,10160
52,3,10170
52,3,10170
52,3,10170
52,3,10170
53,3,10180
53,3,10180
53,3,10180
53,3,10180
52,3,10190
52,3,10190
52,3,10190
52,3,10190
51,3,10200
51,3,10200
51,3,10200
51,3,10200
52,3,10210
52,3,10210
52,3,10210
52,3,10210
53,3,10220
53,3,10220
53,3,10220
53,3,10220
50,3,10230
50,3,10230
50,3,10230
52,3,10240
52,3,10240
52,3,10240
52,3,10240
52,3,10250
52,3,10250
52,3,10250
52,3,10250
53,3,10260
53,3,10260
53,3,10260
53,3,10260
53,3,10270
53,3,10270
53,3,10270
53,3,10270
52,3,10280
52,3,10280
52,3,10280
52,3,10280
52,3,10290
52,3,10290
52,3,10290
52,3,10290
50,3,10300
50,3,10300
50,3,10300
50,3,10300
50,3,10310
50,3,10310
50,3,10310
50,3,10310
52,3,10320
52,3,10320
52,3,10320
52,3,10320
50,3,10330
50,3,10330
50,3,10330
50,3,10330
49,3,10340
49,3,10340
49,3,10340
49,3,10340
52,3,10350
52,3,10350
52,3,10350
52,3,10350
52,3,10360
52,3,10360
52,3,10360
52,3,10360
51,3,10370
51,3,10370
51,3,10370
51,3,10370
52,3,10380
52,3,10380
52,3,10380
52,3,10380
51,3,10390
51,3,10390
51,3,10390
53,3,10400
53,3,10400
53,3,10400
53,3,10400
54,3,10410
54,3,10410
54,3,10410
54,3,10410
52,3,10420
52,3,10420
52,3,10420
52,3,10420
51,3,10430
51,3,10430
51,3,10430
52,3,10440
52,3,10440
52,3,10440
52,3,10440
51,3,10450
51,3,10450
51,3,10450
51,3,10450
53,3,10460
53,3,10460
53,3,10460
53,3,10460
53,3,10470
53,3,10470
53,3,10470
53,3,10470
53,3,10480
