@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
75,3,50
75,3,50
75,3,50
75,3,50
75,3,60
75,3,60
75,3,60
75,3,60
75,3,70
75,3,70
75,3,70
75,3,70
73,3,80
73,3,80
73,3,80
73,3,80
71,3,90
71,3,90
71,3,90
71,3,90
70,3,100
70,3,100
70,3,100
70,3,100
70,3,110
70,3,110
70,3,110
70,3,110
66,3,120
66,3,120
66,3,120
66,3,120
66,3,130
66,3,130
66,3,130
66,3,130
66,3,140
66,3,140
66,3,140
66,3,140
62,3,150
62,3,150
62,3,150
62,3,150
62,3,160
62,3,160
62,3,160
62,3,160
62,3,170
62,3,170
62,3,170
62,3,170
58,3,180
58,3,180
58,3,180
58,3,180
58,3,190
58,3,190
58,3,190
58,3,190
58,3,200
58,3,200
58,3,200
58,3,200
56,3,210
56,3,210
56,3,210
56,3,210
54,3,220
54,3,220
54,3,220
54,3,220
54,3,230
54,3,230
54,3,230
54,3,230
53,3,240
53,3,240
53,3,240
53,3,240
51,3,250
51,3,250
51,3,250
51,3,250
51,3,260
51,3,260
51,3,260
51,3,260
51,3,270
51,3,270
51,3,270
51,3,270
51,3,280
51,3,280
51,3,280
51,3,280
50,3,290
50,3,290
50,3,290
50,3,290
50,3,300
50,3,300
50,3,300
50,3,300
50,3,310
50,3,310
50,3,310
50,3,310
51,3,320
51,3,320
51,3,320
51,3,320
52,3,330
52,3,330
52,3,330
52,3,330
51,3,340
51,3,340
51,3,340
51,3,340
52,3,350
52,3,350
52,3,350
52,3,350
52,3,360
52,3,360
52,3,360
52,3,360
53,3,370
53,3,370
53,3,370
53,3,370
51,3,380
51,3,380
51,3,380
52,3,390
52,3,390
52,3,390
52,3,390
52,3,400
52,3,400
52,3,400
52,3,400
53,3,410
53,3,410
53,3,410
53,3,410
50,3,420
50,3,420
50,3,420
50,3,420
52,3,430
52,3,430
52,3,430
52,3,430
54,3,440
54,3,440
54,3,440
54,3,440
54,3,450
54,3,450
54,3,450
54,3,450
52,3,460
52,3,460
52,3,460
52,3,460
52,3,470
52,3,470
52,3,470
52,3,470
52,3,480
52,3,480
52,3,480
52,3,480
52,3,490
52,3,490
52,3,490
52,3,490
50,3,500
50,3,500
50,3,500
51,3,510
51,3,510
51,3,510
51,3,510
50,3,520
50,3,520
50,3,520
50,3,520
53,3,530
53,3,530
53,3,530
53,3,530
52,3,540
52,3,540
52,3,540
52,3,540
53,3,550
53,3,550
53,3,550
53,3,550
52,3,560
52,3,560
52,3,560
52,3,560
52,3,570
52,3,570
52,3,570
52,3,570
51,3,580
51,3,580
51,3,580
51,3,580
50,3,590
50,3,590
50,3,590
50,3,590
51,3,600
51,3,600
51,3,600
51,3,600
50,3,610
50,3,610
50,3,610
50,3,610
52,3,620
52,3,620
52,3,620
52,3,620
52,3,630
52,3,630
52,3,630
52,3,630
53,3,640
53,3,640
53,3,640
53,3,640
51,3,650
51,3,650
51,3,650
51,3,650
52,3,660
52,3,660
52,3,660
52,3,660
54,3,670
54,3,670
54,3,670
54,3,670
52,3,680
52,3,680
52,3,680
52,3,680
51,3,690
51,3,690
51,3,690
51,3,690
52,3,700
52,3,700
52,3,700
52,3,700
54,3,710
54,3,710
54,3,710
54,3,710
51,3,720
51,3,720
51,3,720
51,3,720
53,3,730
53,3,730
53,3,730
53,3,730
52,3,740
52,3,740
52,3,740
52,3,740
51,3,750
51,3,750
51,3,750
51,3,750
51,3,760
51,3,760
51,3,760
51,3,760
51,3,770
51,3,770
51,3,770
51,3,770
53,3,780
53,3,780
53,3,780
53,3,780
51,3,790
51,3,790
51,3,790
51,3,790
51,3,800
51,3,800
51,3,800
51,3,800
52,3,810
52,3,810
52,3,810
51,3,820
51,3,820
51,3,820
51,3,820
52,3,830
52,3,830
52,3,830
52,3,830
52,3,840
52,3,840
52,3,840
52,3,840
51,3,850
51,3,850
51,3,850
51,3,850
52,3,860
52,3,860
52,3,860
52,3,860
54,3,870
54,3,870
54,3,870
54,3,870
52,3,880
52,3,880
52,3,880
52,3,880
52,3,890
52,3,890
52,3,890
52,3,890
52,3,900
52,3,900
52,3,900
52,3,900
51,3,910
51,3,910
51,3,910
51,3,910
53,3,920
53,3,920
53,3,920
53,3,920
55,3,930
55,3,930
55,3,930
55,3,930
53,3,940
53,3,940
53,3,940
53,3,940
54,3,950
54,3,950
54,3,950
54,3,950
52,3,960
52,3,960
52,3,960
52,3,960
53,3,970
53,3,970
53,3,970
53,3,970
53,3,980
53,3,980
53,3,980
53,3,980
52,3,990
52,3,990
52,3,990
52,3,990
51,3,1000
51,3,1000
51,3,1000
51,3,1000
50,3,1010
50,3,1010
50,3,1010
50,3,1010
51,3,1020
