@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
54,3,30010
54,3,30010
54,3,30010
54,3,30010
53,3,30020
53,3,30020
53,3,30020
53,3,30020
53,3,30030
53,3,30030
53,3,30030
53,3,30030
53,3,30040
53,3,30040
53,3,30040
53,3,30040
52,3,30050
52,3,30050
52,3,30050
52,3,30050
53,3,30060
53,3,30060
53,3,30060
53,3,30060
52,3,30070
52,3,30070
52,3,30070
52,3,30070
51,3,30080
51,3,30080
51,3,30080
51,3,30080
51,3,30090
51,3,30090
51,3,30090
51,3,30090
49,3,30100
49,3,30100
49,3,30100
49,3,30100
51,3,30110
51,3,30110
51,3,30110
51,3,30110
51,3,30120
51,3,30120
51,3,30120
51,3,30120
49,3,30130
49,3,30130
49,3,30130
49,3,30130
51,3,30140
51,3,30140
51,3,30140
51,3,30140
52,3,30150
52,3,30150
52,3,30150
52,3,30150
52,3,30160
52,3,30160
52,3,30160
52,3,30160
52,3,30170
52,3,30170
52,3,30170
52,3,30170
53,3,30180
53,3,30180
53,3,30180
53,3,30180
51,3,30190
51,3,30190
51,3,30190
51,3,30190
51,3,30200
51,3,30200
51,3,30200
51,3,30200
52,3,30210
52,3,30210
52,3,30210
52,3,30210
52,3,30220
52,3,30220
52,3,30220
52,3,30220
52,3,30230
52,3,30230
52,3,30230
52,3,30230
50,3,30240
50,3,30240
50,3,30240
50,3,30240
52,3,30250
52,3,30250
52,3,30250
52,3,30250
51,3,30260
51,3,30260
51,3,30260
51,3,30260
50,3,30270
50,3,30270
50,3,30270
50,3,30270
50,3,30280
50,3,30280
50,3,30280
50,3,30280
51,3,30290
51,3,30290
51,3,30290
51,3,30290
52,3,30300
52,3,30300
52,3,30300
52,3,30300
53,3,30310
53,3,30310
53,3,30310
53,3,30310
51,3,30320
51,3,30320
51,3,30320
51,3,30320
51,3,30330
51,3,30330
51,3,30330
51,3,30330
52,3,30340
52,3,30340
52,3,30340
52,3,30340
52,3,30350
52,3,30350
52,3,30350
52,3,30350
54,3,30360
54,3,30360
54,3,30360
54,3,30360
53,3,30370
53,3,30370
53,3,30370
53,3,30370
52,3,30380
52,3,30380
52,3,30380
52,3,30380
51,3,30390
51,3,30390
51,3,30390
51,3,30390
53,3,30400
53,3,30400
53,3,30400
53,3,30400
52,3,30410
52,3,30410
52,3,30410
52,3,30410
52,3,30420
52,3,30420
52,3,30420
52,3,30420
52,3,30430
52,3,30430
52,3,30430
52,3,30430
53,3,30440
53,3,30440
53,3,30440
53,3,30440
52,3,30450
52,3,30450
52,3,30450
52,3,30450
51,3,30460
51,3,30460
51,3,30460
51,3,30460
51,3,30470
51,3,30470
51,3,30470
51,3,30470
51,3,30480
51,3,30480
51,3,30480
51,3,30480
51,3,30490
51,3,30490
51,3,30490
51,3,30490
50,3,30500
50,3,30500
50,3,30500
50,3,30500
51,3,30510
51,3,30510
51,3,30510
51,3,30510
52,3,30520
52,3,30520
52,3,30520
52,3,30520
50,3,30530
50,3,30530
50,3,30530
50,3,30530
52,3,30540
52,3,30540
52,3,30540
52,3,30540
52,3,30550
52,3,30550
52,3,30550
52,3,30550
52,3,30560
52,3,30560
52,3,30560
52,3,30560
52,3,30570
52,3,30570
52,3,30570
52,3,30570
52,3,30580
52,3,30580
52,3,30580
52,3,30580
52,3,30590
52,3,30590
52,3,30590
52,3,30590
53,3,30600
53,3,30600
53,3,30600
53,3,30600
51,3,30610
51,3,30610
51,3,30610
51,3,30610
52,3,30620
52,3,30620
52,3,30620
52,3,30620
52,3,30630
52,3,30630
52,3,30630
52,3,30630
51,3,30640
51,3,30640
51,3,30640
51,3,30640
51,3,30650
51,3,30650
51,3,30650
51,3,30650
52,3,30660
52,3,30660
52,3,30660
52,3,30660
50,3,30670
50,3,30670
50,3,30670
50,3,30670
49,3,30680
49,3,30680
49,3,30680
49,3,30680
52,3,30690
52,3,30690
52,3,30690
52,3,30690
51,3,30700
51,3,30700
51,3,30700
51,3,30700
50,3,30710
50,3,30710
50,3,30710
50,3,30710
53,3,30720
53,3,30720
53,3,30720
53,3,30720
52,3,30730
52,3,30730
52,3,30730
52,3,30730
51,3,30740
51,3,30740
51,3,30740
51,3,30740
51,3,30750
51,3,30750
51,3,30750
51,3,30750
52,3,30760
52,3,30760
52,3,30760
52,3,30760
49,3,30770
49,3,30770
49,3,30770
49,3,30770
53,3,30780
53,3,30780
53,3,30780
53,3,30780
52,3,30790
52,3,30790
52,3,30790
52,3,30790
53,3,30800
53,3,30800
53,3,30800
53,3,30800
51,3,30810
51,3,30810
51,3,30810
51,3,30810
52,3,30820
52,3,30820
52,3,30820
52,3,30820
53,3,30830
53,3,30830
53,3,30830
53,3,30830
52,3,30840
52,3,30840
52,3,30840
52,3,30840
50,3,30850
50,3,30850
50,3,30850
50,3,30850
52,3,30860
52,3,30860
52,3,30860
52,3,30860
51,3,30870
51,3,30870
51,3,30870
51,3,30870
49,3,30880
49,3,30880
49,3,30880
52,3,30890
52,3,30890
52,3,30890
52,3,30890
53,3,30900
53,3,30900
53,3,30900
53,3,30900
51,3,30910
51,3,30910
51,3,30910
52,3,30920
52,3,30920
52,3,30920
52,3,30920
52,3,30930
52,3,30930
52,3,30930
52,3,30930
52,3,30940
52,3,30940
52,3,30940
52,3,30940
51,3,30950
51,3,30950
51,3,30950
51,3,30950
53,3,30960
53,3,30960
53,3,30960
53,3,30960
52,3,30970
52,3,30970
52,3,30970
52,3,30970
52,3,30980
52,3,30980
52,3,30980
52,3,30980
52,3,30990
52,3,30990
52,3,30990
52,3,30990
51,3,31000
51,3,31000
51,3,31000
51,3,31000
50,3,31010
50,3,31010
50,3,31010
50,3,31010
50,3,31020
50,3,31020
50,3,31020
50,3,31030
50,3,31030
50,3,31030
50,3,31030
51,3,31040
51,3,31040
51,3,31040
51,3,31040
50,3,31050
50,3,31050
50,3,31050
50,3,31050
51,3,31060
51,3,31060
51,3,31060
51,3,31060
51,3,31070
51,3,31070
51,3,31070
51,3,31070
50,3,31080
50,3,31080
50,3,31080
50,3,31090
50,3,31090
50,3,31090
50,3,31090
52,3,31100
52,3,31100
52,3,31100
52,3,31100
52,3,31110
52,3,31110
52,3,31110
52,3,31110
52,3,31120
52,3,31120
52,3,31120
52,3,31120
52,3,31130
52,3,31130
52,3,31130
51,3,31140
51,3,31140
51,3,31140
51,3,31140
51,3,31150
51,3,31150
51,3,31150
51,3,31150
52,3,31160
52,3,31160
52,3,31160
52,3,31160
52,3,31170
52,3,31170
52,3,31170
52,3,31170
53,3,31180
53,3,31180
53,3,31180
53,3,31180
53,3,31190
53,3,31190
53,3,31190
53,3,31190
52,3,31200
52,3,31200
52,3,31200
52,3,31200
51,3,31210
51,3,31210
51,3,31210
51,3,31210
53,3,31220
53,3,31220
53,3,31220
53,3,31220
51,3,31230
51,3,31230
51,3,31230
51,3,31230
51,3,31240
51,3,31240
51,3,31240
51,3,31240
51,3,31250
51,3,31250
51,3,31250
51,3,31250
53,3,31260
53,3,31260
53,3,31260
53,3,31260
53,3,31270
53,3,31270
53,3,31270
53,3,31270
53,3,31280
53,3,31280
53,3,31280
53,3,31280
52,3,31290
52,3,31290
52,3,31290
52,3,31290
52,3,31300
52,3,31300
52,3,31300
52,3,31300
51,3,31310
51,3,31310
51,3,31310
51,3,31310
52,3,31320
52,3,31320
52,3,31320
52,3,31320
52,3,31330
52,3,31330
52,3,31330
52,3,31330
53,3,31340
53,3,31340
53,3,31340
53,3,31340
51,3,31350
51,3,31350
51,3,31350
51,3,31350
50,3,31360
50,3,31360
50,3,31360
50,3,31360
52,3,31370
52,3,31370
52,3,31370
52,3,31370
53,3,31380
53,3,31380
53,3,31380
53,3,31380
53,3,31390
53,3,31390
53,3,31390
53,3,31390
52,3,31400
52,3,31400
52,3,31400
52,3,31400
52,3,31410
52,3,31410
52,3,31410
52,3,31410
51,3,31420
51,3,31420
51,3,31420
51,3,31420
53,3,31430
53,3,31430
53,3,31430
53,3,31430
53,3,31440
53,3,31440
53,3,31440
53,3,31440
53,3,31450
53,3,31450
53,3,31450
53,3,31450
51,3,31460
51,3,31460
51,3,31460
51,3,31470
51,3,31470
51,3,31470
51,3,31470
52,3,31480
52,3,31480
52,3,31480
52,3,31480
52,3,31490
52,3,31490
52,3,31490
52,3,31490
52,3,31500
52,3,31500
52,3,31500
50,3,31510
50,3,31510
50,3,31510
50,3,31510
53,3,31520
53,3,31520
53,3,31520
53,3,31520
52,3,31530
52,3,31530
52,3,31530
52,3,31530
52,3,31540
52,3,31540
52,3,31540
52,3,31540
51,3,31550
51,3,31550
51,3,31550
51,3,31550
51,3,31560
51,3,31560
51,3,31560
51,3,31560
52,3,31570
52,3,31570
52,3,31570
52,3,31570
51,3,31580
51,3,31580
51,3,31580
50,3,31590
50,3,31590
50,3,31590
50,3,31590
51,3,31600
51,3,31600
51,3,31600
51,3,31600
51,3,31610
51,3,31610
51,3,31610
51,3,31610
51,3,31620
51,3,31620
51,3,31620
51,3,31620
52,3,31630
52,3,31630
52,3,31630
52,3,31630
50,3,31640
50,3,31640
50,3,31640
50,3,31640
51,3,31650
51,3,31650
51,3,31650
51,3,31650
51,3,31660
51,3,31660
51,3,31660
51,3,31660
51,3,31670
51,3,31670
51,3,31670
51,3,31670
49,3,31680
49,3,31680
49,3,31680
49,3,31680
51,3,31690
51,3,31690
51,3,31690
51,3,31690
52,3,31700
52,3,31700
52,3,31700
52,3,31700
51,3,31710
51,3,31710
51,3,31710
51,3,31710
54,3,31720
54,3,31720
54,3,31720
53,3,31730
53,3,31730
53,3,31730
53,3,31730
52,3,31740
52,3,31740
52,3,31740
52,3,31740
52,3,31750
52,3,31750
52,3,31750
52,3,31750
50,3,31760
50,3,31760
50,3,31760
50,3,31760
52,3,31770
52,3,31770
52,3,31770
52,3,31770
50,3,31780
50,3,31780
50,3,31780
50,3,31780
52,3,31790
52,3,31790
52,3,31790
52,3,31790
50,3,31800
50,3,31800
50,3,31800
50,3,31800
53,3,31810
53,3,31810
53,3,31810
53,3,31810
51,3,31820
51,3,31820
51,3,31820
51,3,31820
51,3,31830
51,3,31830
51,3,31830
51,3,31830
52,3,31840
52,3,31840
52,3,31840
52,3,31850
52,3,31850
52,3,31850
52,3,31850
52,3,31860
52,3,31860
52,3,31860
52,3,31860
52,3,31870
52,3,31870
52,3,31870
52,3,31870
51,3,31880
51,3,31880
51,3,31880
51,3,31880
50,3,31890
50,3,31890
50,3,31890
50,3,31890
51,3,31900
51,3,31900
51,3,31900
51,3,31900
52,3,31910
52,3,31910
52,3,31910
52,3,31910
53,3,31920
53,3,31920
53,3,31920
53,3,31920
54,3,31930
54,3,31930
54,3,31930
54,3,31930
53,3,31940
53,3,31940
53,3,31940
53,3,31940
52,3,31950
52,3,31950
52,3,31950
52,3,31950
52,3,31960
52,3,31960
52,3,31960
52,3,31960
51,3,31970
51,3,31970
51,3,31970
51,3,31970
52,3,31980
52,3,31980
52,3,31980
52,3,31980
52,3,31990
52,3,31990
52,3,31990
52,3,31990
50,3,32000
50,3,32000
50,3,32000
50,3,32000
52,3,32010
52,3,32010
52,3,32010
52,3,32010
53,3,32020
53,3,32020
53,3,32020
53,3,32020
51,3,32030
51,3,32030
51,3,32030
51,3,32030
54,3,32040
54,3,32040
54,3,32040
54,3,32040
54,3,32050
54,3,32050
54,3,32050
54,3,32050
52,3,32060
52,3,32060
52,3,32060
52,3,32060
51,3,32070
51,3,32070
51,3,32070
51,3,32070
52,3,32080
52,3,32080
52,3,32080
52,3,32080
52,3,32090
52,3,32090
52,3,32090
52,3,32090
52,3,32100
52,3,32100
52,3,32100
52,3,32100
52,3,32110
52,3,32110
52,3,32110
52,3,32110
53,3,32120
53,3,32120
53,3,32120
53,3,32120
52,3,32130
52,3,32130
52,3,32130
52,3,32130
51,3,32140
51,3,32140
51,3,32140
51,3,32140
52,3,32150
52,3,32150
52,3,32150
52,3,32150
50,3,32160
50,3,32160
50,3,32160
50,3,32160
52,3,32170
52,3,32170
52,3,32170
52,3,32170
50,3,32180
50,3,32180
50,3,32180
50,3,32180
51,3,32190
51,3,32190
51,3,32190
52,3,32200
52,3,32200
52,3,32200
52,3,32200
50,3,32210
50,3,32210
50,3,32210
50,3,32210
52,3,32220
52,3,32220
52,3,32220
52,3,32220
52,3,32230
52,3,32230
52,3,32230
52,3,32230
53,3,32240
53,3,32240
53,3,32240
53,3,32240
52,3,32250
52,3,32250
52,3,32250
52,3,32250
53,3,32260
53,3,32260
53,3,32260
54,3,32270
54,3,32270
54,3,32270
54,3,32270
53,3,32280
53,3,32280
53,3,32280
53,3,32280
53,3,32290
53,3,32290
53,3,32290
53,3,32300
53,3,32300
53,3,32300
53,3,32300
53,3,32310
53,3,32310
53,3,32310
53,3,32310
53,3,32320
53,3,32320
53,3,32320
53,3,32320
51,3,32330
51,3,32330
51,3,32330
51,3,32330
52,3,32340
52,3,32340
52,3,32340
52,3,32340
51,3,32350
51,3,32350
51,3,32350
51,3,32350
51,3,32360
51,3,32360
51,3,32360
51,3,32360
51,3,32370
51,3,32370
51,3,32370
51,3,32370
51,3,32380
51,3,32380
51,3,32380
51,3,32380
52,3,32390
52,3,32390
52,3,32390
52,3,32390
51,3,32400
51,3,32400
51,3,32400
51,3,32400
50,3,32410
50,3,32410
50,3,32410
50,3,32410
50,3,32420
50,3,32420
50,3,32420
50,3,32420
52,3,32430
52,3,32430
52,3,32430
