@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
52,3,20010
52,3,20010
52,3,20010
52,3,20010
52,3,20020
52,3,20020
52,3,20020
52,3,20020
51,3,20030
51,3,20030
51,3,20030
51,3,20030
51,3,20040
51,3,20040
51,3,20040
51,3,20040
51,3,20050
51,3,20050
51,3,20050
51,3,20050
51,3,20060
51,3,20060
51,3,20060
51,3,20060
51,3,20070
51,3,20070
51,3,20070
51,3,20070
51,3,20080
51,3,20080
51,3,20080
51,3,20080
52,3,20090
52,3,20090
52,3,20090
52,3,20090
54,3,20100
54,3,20100
54,3,20100
54,3,20100
54,3,20110
54,3,20110
54,3,20110
54,3,20110
54,3,20120
54,3,20120
54,3,20120
54,3,20120
54,3,20130
54,3,20130
54,3,20130
54,3,20130
53,3,20140
53,3,20140
53,3,20140
53,3,20140
53,3,20150
53,3,20150
53,3,20150
53,3,20150
52,3,20160
52,3,20160
52,3,20160
52,3,20160
52,3,20170
52,3,20170
52,3,20170
52,3,20170
52,3,20180
52,3,20180
52,3,20180
52,3,20180
53,3,20190
53,3,20190
53,3,20190
53,3,20190
51,3,20200
51,3,20200
51,3,20200
51,3,20200
51,3,20210
51,3,20210
51,3,20210
51,3,20210
52,3,20220
52,3,20220
52,3,20220
52,3,20220
52,3,20230
52,3,20230
52,3,20230
52,3,20230
52,3,20240
52,3,20240
52,3,20240
52,3,20240
51,3,20250
51,3,20250
51,3,20250
51,3,20250
51,3,20260
51,3,20260
51,3,20260
51,3,20260
52,3,20270
52,3,20270
52,3,20270
51,3,20280
51,3,20280
51,3,20280
51,3,20280
51,3,20290
51,3,20290
51,3,20290
51,3,20300
51,3,20300
51,3,20300
51,3,20300
52,3,20310
52,3,20310
52,3,20310
52,3,20310
52,3,20320
52,3,20320
52,3,20320
52,3,20320
52,3,20330
52,3,20330
52,3,20330
52,3,20330
52,3,20340
52,3,20340
52,3,20340
52,3,20340
54,3,20350
54,3,20350
54,3,20350
54,3,20350
51,3,20360
51,3,20360
51,3,20360
51,3,20360
50,3,20370
50,3,20370
50,3,20370
50,3,20370
51,3,20380
51,3,20380
51,3,20380
53,3,20390
53,3,20390
53,3,20390
53,3,20390
51,3,20400
51,3,20400
51,3,20400
51,3,20400
51,3,20410
51,3,20410
51,3,20410
51,3,20410
51,3,20420
51,3,20420
51,3,20420
51,3,20420
51,3,20430
51,3,20430
51,3,20430
51,3,20440
51,3,20440
51,3,20440
51,3,20440
52,3,20450
52,3,20450
52,3,20450
52,3,20450
52,3,20460
52,3,20460
52,3,20460
52,3,20460
52,3,20470
52,3,20470
52,3,20470
