@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
52,3,40010
52,3,40010
52,3,40010
52,3,40010
51,3,40020
51,3,40020
51,3,40020
53,3,40030
53,3,40030
53,3,40030
53,3,40030
51,3,40040
51,3,40040
51,3,40040
51,3,40040
52,3,40050
52,3,40050
52,3,40050
52,3,40050
53,3,40060
53,3,40060
53,3,40060
53,3,40060
52,3,40070
52,3,40070
52,3,40070
52,3,40070
52,3,40080
52,3,40080
52,3,40080
52,3,40080
51,3,40090
51,3,40090
51,3,40090
51,3,40090
52,3,40100
52,3,40100
52,3,40100
52,3,40100
50,3,40110
50,3,40110
50,3,40110
50,3,40110
50,3,40120
50,3,40120
50,3,40120
50,3,40120
51,3,40130
51,3,40130
51,3,40130
51,3,40130
50,3,40140
50,3,40140
50,3,40140
50,3,40140
50,3,40150
50,3,40150
50,3,40150
50,3,40150
51,3,40160
51,3,40160
51,3,40160
51,3,40160
53,3,40170
53,3,40170
53,3,40170
53,3,40170
52,3,40180
52,3,40180
52,3,40180
51,3,40190
51,3,40190
51,3,40190
51,3,40190
52,3,40200
52,3,40200
52,3,40200
52,3,40200
53,3,40210
53,3,40210
53,3,40210
53,3,40210
53,3,40220
53,3,40220
53,3,40220
53,3,40220
52,3,40230
52,3,40230
52,3,40230
52,3,40230
52,3,40240
52,3,40240
52,3,40240
52,3,40240
51,3,40250
51,3,40250
51,3,40250
51,3,40250
52,3,40260
52,3,40260
52,3,40260
52,3,40260
52,3,40270
52,3,40270
52,3,40270
52,3,40270
52,3,40280
52,3,40280
52,3,40280
52,3,40280
51,3,40290
51,3,40290
51,3,40290
51,3,40290
53,3,40300
53,3,40300
53,3,40300
53,3,40300
54,3,40310
54,3,40310
54,3,40310
54,3,40310
50,3,40320
50,3,40320
50,3,40320
50,3,40320
52,3,40330
52,3,40330
52,3,40330
52,3,40330
50,3,40340
50,3,40340
50,3,40340
51,3,40350
51,3,40350
51,3,40350
51,3,40350
51,3,40360
51,3,40360
51,3,40360
51,3,40360
52,3,40370
52,3,40370
52,3,40370
52,3,40370
51,3,40380
51,3,40380
51,3,40380
51,3,40380
51,3,40390
51,3,40390
51,3,40390
51,3,40390
51,3,40400
51,3,40400
51,3,40400
51,3,40400
51,3,40410
51,3,40410
51,3,40410
51,3,40410
51,3,40420
51,3,40420
51,3,40420
51,3,40420
53,3,40430
53,3,40430
53,3,40430
53,3,40430
54,3,40440
54,3,40440
